Match_ID;Date;HomeTeam;AwayTeam;Home Team Goals;Away Team Goals;Match Result;Referee;Home ex-rank;Home Team Shots;Away ex-rank;Away Team Shots;Home Team Shots on Target;Away Team Shots on Target;Home Fouls Committed;Away Fouls Committed;Home Corners;Away Cornners;Home Yellow Cards;Away Yellow Cards;Home Red Cards;Away Red Cards;B365 Home;B365 Draw;B365 Away;Bet&Win Home;Bet&Win Draw;Bet&Win Away;Interwetten Home;Iterwetten Draw;Interwetten Away;William Hill Home;William Hill Draw;William Hill Away;VC Bet Home;VC Bet Draw;VC Bet Away;Betbrain Numbers of bookmakers 1X2;Betbrain Maximum Home;Betbrain Average Home;Betbrain Maximum Draw;Betbrain Average Draw;Betbrain Maximum Away;Betbrain Average Away;Betbrain Numbers of bookmakers Goals;Betbrain Max > 2.5 Goals;Betbrain Average > 2.5 Goals;Betbrain Max < 2.5 Goals;Betbrain Average < 2.5 Goals
4173;12.05.19;Crystal Palace;Bournemouth;5;3;H;R East;11;17;12;16;8;8;11;8;4;4;3;0;0;0;1.9;4.2;3.8;1.85;3.9;3.9;1.85;3.95;3.85;1.83;4;3.9;1.85;4.1;4.1;35;1.91;1.87;4.2;4;4.1;3.87;33;1.6;1.54;2.59;2.45
3806;11.08.18;Watford;Brighton;2;0;H;J Moss;14;19;15;6;5;0;10;16;8;2;2;2;0;0;2.37;3.2;3.4;2.35;3.1;3.3;2.2;3.3;3.4;2.38;3;3.3;2.4;3.2;3.4;39;2.48;2.36;3.3;3.14;3.42;3.31;37;2.46;2.35;1.67;1.59
3824;25.08.18;Liverpool;Brighton;1;0;H;C Kavanagh;4;22;15;6;8;2;8;14;8;5;1;1;0;0;1.16;8.5;19;1.16;7.5;17.5;1.15;7.9;18;1.15;8;17;1.15;8.5;23;41;1.18;1.16;8.92;8.05;23;18.81;35;1.47;1.41;3;2.85
3850;17.09.18;Southampton;Brighton;2;2;D;A Taylor;17;14;15;12;5;4;10;13;1;4;2;3;0;0;2.1;3.4;3.9;2.1;3.3;3.75;2.1;3.25;3.75;2.05;3.2;3.75;2.15;3.25;3.9;38;2.22;2.12;3.42;3.28;4;3.75;36;2.4;2.27;1.7;1.63
3865;29.09.18;Man City;Brighton;2;0;H;L Mason;1;28;15;4;8;1;4;10;10;3;0;3;0;0;1.1;12;34;1.08;11;29;1.1;9.1;28;1.07;12;29;1.1;12;31;40;1.12;1.09;12.87;11.16;34.25;27.87;34;1.35;1.3;3.65;3.44
3886;20.10.18;Newcastle;Brighton;0;1;A;A Marriner;10;27;15;8;6;2;13;17;10;2;0;2;0;0;2.2;3.25;3.8;2.2;3.2;3.5;2.15;3.1;3.75;2.15;3.2;3.7;2.2;3.2;3.9;38;2.27;2.19;3.25;3.16;3.9;3.71;35;2.58;2.45;1.6;1.55
3904;03.11.18;Everton;Brighton;3;1;H;D Coote;8;14;15;5;3;3;9;17;6;4;0;1;0;0;1.61;4;6.5;1.57;3.9;6.25;1.7;3.8;5;1.6;3.9;6;1.62;3.9;6.5;38;1.7;1.59;4.15;3.94;7.01;6.28;36;2.05;1.96;1.91;1.86
3911;10.11.18;Cardiff;Brighton;2;1;H;M Atkinson;22;20;15;7;6;3;7;21;4;1;2;1;0;1;2.6;3.1;3.1;2.5;3.1;3.1;2.65;3.2;2.75;2.55;3.1;3;2.6;3.13;3.13;37;2.65;2.56;3.2;3.11;3.2;3.05;34;2.6;2.45;1.6;1.55
3933;01.12.18;Huddersfield;Brighton;1;2;A;M Oliver;16;7;15;14;2;6;10;12;2;6;0;2;1;0;2.5;3;3.4;2.35;3;3.4;2.45;2.95;3.3;2.45;3;3.25;2.55;3;3.4;38;2.56;2.47;3.06;2.97;3.46;3.31;34;2.9;2.74;1.5;1.45
3953;08.12.18;Burnley;Brighton;1;0;H;M Atkinson;7;14;15;14;4;1;11;11;2;7;2;0;0;0;2.9;3.2;2.75;2.85;3.1;2.65;2.8;3.05;2.75;2.75;3.1;2.75;2.88;3.2;2.8;38;2.95;2.84;3.2;3.08;2.85;2.73;34;2.5;2.41;1.62;1.57
3973;22.12.18;Bournemouth;Brighton;2;0;H;M Dean;12;14;15;10;3;5;8;18;6;5;2;0;0;1;1.9;3.7;4.33;1.85;3.6;4.33;1.85;3.6;4.3;1.91;3.5;4.2;1.95;3.6;4.33;36;1.97;1.91;3.7;3.54;4.5;4.27;34;2.05;1.95;1.92;1.87
4008;02.01.19;West Ham;Brighton;2;2;D;C Kavanagh;13;13;15;13;6;6;9;11;1;5;0;1;0;0;1.95;3.75;4;1.95;3.5;3.9;1.9;3.5;4.1;1.91;3.6;4;1.95;3.6;4.1;36;2.02;1.96;3.75;3.56;4.2;3.96;34;1.97;1.9;1.97;1.91
4024;19.01.19;Man United;Brighton;2;1;H;P Tierney;2;20;15;7;5;3;11;11;6;5;1;0;0;0;1.3;5.75;12;1.3;5.5;10.5;1.3;5.5;9.6;1.29;5.5;11;1.3;5.5;12;36;1.33;1.3;6;5.49;12;10.75;35;1.73;1.68;2.29;2.2
4032;29.01.19;Fulham;Brighton;4;2;H;L Probert;23;24;15;15;7;6;10;5;10;1;2;3;0;0;2.37;3.3;3.3;2.4;3.1;3.3;2.35;3.2;3.2;2.35;3.2;3.2;2.4;3.3;3.3;36;2.46;2.39;3.3;3.2;3.5;3.28;35;2.31;2.23;1.73;1.66
4072;26.02.19;Leicester;Brighton;2;1;H;L Probert;9;19;15;15;3;3;6;4;4;8;1;1;0;0;1.9;3.5;4.6;1.91;3.4;4.5;2;3.4;3.8;1.88;3.4;4.4;1.93;3.5;4.6;35;2;1.93;3.5;3.4;4.75;4.42;34;2.3;2.21;1.72;1.68
4091;09.03.19;Crystal Palace;Brighton;1;2;A;C Pawson;11;15;15;4;3;3;8;18;8;0;1;5;0;0;1.83;3.6;5;1.8;3.5;4.75;1.83;3.45;4.55;1.83;3.4;4.75;1.87;3.5;5;34;1.89;1.85;3.6;3.48;5;4.72;33;2.25;2.17;1.75;1.7
4117;03.04.19;Chelsea;Brighton;3;0;H;G Scott;5;17;15;3;4;1;5;9;7;1;0;0;0;0;1.25;6.5;15;1.26;5.75;11.5;1.25;6.1;11;1.25;5.8;13;1.29;5.75;15;35;1.29;1.26;6.5;5.79;15.5;13.11;33;1.75;1.7;2.25;2.16
4142;20.04.19;Wolves;Brighton;0;0;D;C Pawson;21;22;15;5;5;0;0;8;14;1;0;1;0;0;1.75;3.5;6;1.72;3.5;5.5;1.77;3.45;5.2;1.75;3.4;5.5;1.8;3.5;5.75;34;1.8;1.76;3.6;3.44;6;5.46;33;2.45;2.38;1.65;1.59
4147;23.04.19;Tottenham;Brighton;1;0;H;C Kavanagh;3;29;15;6;5;1;7;13;6;3;1;2;0;0;1.28;6;13;1.3;5.5;11.5;1.33;5.5;8.4;1.27;5.5;12;1.3;5.75;12;34;1.33;1.29;6;5.53;13.8;11.88;33;1.76;1.71;2.25;2.15
4167;05.05.19;Arsenal;Brighton;1;1;D;A Taylor;6;20;15;11;8;5;9;14;16;3;5;2;0;0;1.4;5;9;1.36;4.75;9.25;1.43;4.5;7.7;1.4;4.6;8.5;1.4;4.8;8.5;34;1.44;1.41;5;4.69;9.25;8.3;33;1.73;1.67;2.27;2.2
3810;12.08.18;Southampton;Burnley;0;0;D;G Scott;17;18;7;16;3;6;10;9;8;5;0;1;0;0;1.85;3.5;5;1.8;3.5;4.75;1.8;3.6;4.5;1.83;3.25;4.8;1.85;3.4;5.2;39;1.9;1.84;3.61;3.43;5.2;4.8;37;2.45;2.34;1.67;1.6
3827;26.08.18;Fulham;Burnley;4;2;H;D Coote;23;25;7;12;12;2;11;8;6;4;2;1;0;0;2;3.4;4.33;2;3.3;4;1.97;3.35;4.1;2;3.25;3.9;2;3.4;4.33;39;2.04;1.98;3.57;3.36;4.5;4.14;36;2.31;2.22;1.72;1.65
3849;16.09.18;Wolves;Burnley;1;0;H;A Marriner;21;30;7;7;7;2;10;9;8;2;2;4;0;0;1.75;3.6;5.75;1.7;3.6;5.5;1.8;3.5;4.7;1.75;3.5;4.8;1.75;3.6;5.75;39;1.8;1.74;3.72;3.55;6;5.42;37;2.4;2.28;1.69;1.63
3869;30.09.18;Cardiff;Burnley;1;2;A;M Atkinson;22;19;7;3;5;2;11;15;10;2;1;3;0;0;2.62;3;3.2;2.55;3;3.1;2.55;3.05;3.05;2.55;3.1;3;2.6;3.1;3.13;40;2.64;2.56;3.15;3.06;3.2;3.09;38;2.6;2.43;1.63;1.55
3885;20.10.18;Man City;Burnley;5;0;H;J Moss;1;24;7;5;10;0;11;5;10;1;2;2;0;0;1.08;13;34;1.07;12.5;26;1.1;9.2;27;1.06;13;26;1.05;13;31;38;1.1;1.08;15;12.2;41;30.98;31;1.3;1.28;3.95;3.66
3906;03.11.18;West Ham;Burnley;4;2;H;R East;13;22;7;6;10;3;7;9;10;4;1;4;0;0;1.75;3.75;5.25;1.75;3.6;5;1.8;3.6;4.5;1.75;3.7;4.8;1.75;3.7;5.4;38;1.8;1.74;3.85;3.68;5.5;5.1;36;2.1;2.01;1.88;1.81
3914;10.11.18;Leicester;Burnley;0;0;D;M Dean;9;22;7;6;5;1;13;10;12;1;2;0;0;0;1.5;4.33;8;1.48;4.33;7;1.53;4.2;6.1;1.52;4.2;6.5;1.53;4.3;7;38;1.53;1.49;4.5;4.28;8;7.24;36;1.92;1.86;2.04;1.95
